ALDH1A1	NP_000680.2
GYG2	NP_003909.2
TRA2B	NP_004584.1
RBMX	NP_002130.2
B2M	NP_004039.1
CCL11	NP_002977.1
CCL3L1	NP_066286.1
CXCL9	NP_002407.1
CXCL11	NP_005400.1
GRP	NP_002082.2
FBN1	NP_000129.2
CLIC1	NP_001279.2
EBPL	NP_115954.1
EBP	NP_006570.1
NCS1	NP_055101.2
IL1RAPL1	NP_055086.1
PLXNB3	NP_005384.2
FGB	NP_005132.2
CUL7	NP_055595.2
SPOCK2	NP_055582.1
BTBD3	NP_055777.1
PJA1	NP_660095.1
DLX5	NP_005212.1
DLX4	NP_612138.1
PJA2	NP_055634.3
NR3C1	NP_001019265.1
UNC5A	NP_588610.2
SLC9A6	NP_001036002.1
UXT	NP_705582.1
LRPPRC	NP_573566.2
CECR2	AAK15343.1
SLC2A1	NP_006507.2
HLA-C	NP_002108.4
MBL2	NP_000233.1
LPP	NP_005569.1
PRF1	NP_005032.2
PPM1B	NP_002697.1
TANK	NP_004171.2
RAB11B	NP_004209.2
ZFAND5	NP_005998.1
TRAF3IP2	NP_671733.1
CARD10	NP_055365.2
CARD8	NP_055774.1
TIMM23	NP_006318.1
TIMM17B	NP_005825.1
HIST1H3A	NP_003520.1
SBF1	NP_002963.2
HDAC5	NP_001015053.1
TRAK2	NP_055864.2
TRAK1	NP_001036111.1
HSPA13	NP_008879.3
PSMD4	NP_002801.1
PARVB	NP_001003828.1
HDAC8	NP_060956.1
HIST4H4	NP_778224.1
VCP	NP_009057.1
BCOR	NP_001116857.1
HDAC11	NP_079103.2
EDA	NP_001390.1
EDA2R	AAN73210.1
KCND1	NP_004970.3
KCNIP1	NP_001030009.1
MYD88	NP_002459.2
IRAK3	NP_009130.2
TOLLIP	NP_061882.2
IRAK4	NP_057207.2
TIFA	NP_443096.1
SIGIRR	NP_068577.2
TICAM2	NP_067681.1
IRAK1BP1	NP_001010844.1
PELI3	NP_659502.2
PELI1	NP_065702.2
PELI2	NP_067078.1
PLIN3	NP_005808.3
RABEPK	NP_005824.2
KLF8	NP_009181.2
ATF6B	NP_004372.3
MBTPS2	NP_056968.1
BAD	NP_004313.1
PIM2	NP_006866.2
TSHR	NP_000360.2
APLNR	NP_005152.1
APLN	NP_059109.3
UPF3B	NP_542199.1
UPF1	Q92900
TTC19	NP_060245.2
XRN1	NP_061874.3
EXOSC4	NP_061910.1
SH3BP5	NP_004835.2
IBTK	NP_056340.2
GNG2	NP_444292.1
SCARF1	NP_003684.2
CAND1	NP_060918.2
TAF7L	NP_079161.2
NXT2	NP_061168.2
NUP153	NP_005115.2
HNRNPUL1	NP_008971.2
NXT1	NP_037380.1
NXF3	NP_071335.1
PDIA2	NP_006840.2
ASAP2	NP_003878.1
TRIM21	NP_003132.2
NXF5	NP_149342.1
SSX3	NP_066294.1
ZBTB33	AAH42753.1
TRPC5	NP_036603.1
STMN2	NP_008960.2
TRPC4	NP_003297.1
ACE2	NP_068576.1
GHRL	NP_057446.1
PPP2R3B	NP_037371.2
SUPT5H	NP_003160.2
SNRPB2	NP_003083.1
CDK9	NP_001252.1
SUPT4H1	NP_003159.1
STAM	NP_003464.1
TIMM8A	NP_004076.1
TROVE2	NP_004591.2
TIMM13	NP_036590.1
TSLP	NP_149024.1
CRLF2	NP_071431.2
SMPD1	NP_000534.3
TREX2	NP_059988.3
GFI1	NP_005254.2
PDCD6	NP_037364.1
NEDD4	NP_940682.2
SH3GL2	NP_003017.1
GPX7	NP_056511.2
TJP2	NP_004808.2
ARHGAP27	NP_954976.1
SNTB1	NP_066301.1
DMD	NP_003997.1
SNTB2	NP_006741.1
PGM5	NP_068800.2
CADPS	NP_003707.2
DTNB	NP_068707.1
SGCZ	NP_631906.2
CADPS2	NP_060424.9
SNTG2	NP_061841.2
LHX3	NP_055379.1
LIMK1	NP_002305.1
LHX2	NP_004780.3
LHX1	NP_005559.2
LDB2	NP_001281.1
EMD	NP_000108.1
SYNE1	NP_892006.2
BCLAF1	NP_055554.1
CD5L	NP_005885.1
CD40LG	NP_000065.1
IGHG1	CAD98026.1
RAB3D	NP_004274.1
GAS6	NP_000811.1
WIPF1	NP_003378.3
ITSN2	NP_006268.2
RHOJ	NP_065714.1
ARPC1B	NP_005711.1
TAZ	NP_000107.1
IGHD	AAH63384.1
BCAP29	NP_001008405.1
PTPLB	NP_940684.1
LST1	NP_009092.3
GRIPAP1	NP_064522.3
TCEA2	NP_003186.1
MRFAP1	NP_150638.1
GPRASP1	NP_055525.3
PER1	NP_002607.2
ETF1	NP_004721.1
GSPT2	NP_060564.2
NLGN4X	NP_065793.1
DLGAP2	NP_004736.2
GPHN	NP_065857.1
ARHGEF9	NP_056000.1
G2E3	NP_060239.2
RNF128	NP_919445.1
EDAR	NP_071731.1
C19orf29OS	BAC05213.1
POU3F2	NP_005595.2
PQBP1	NP_005701.1
TXNL4A	NP_006692.1
SUCLG2	NP_003839.2
GPR143	NP_000264.1
SUCLA2	NP_003841.1
ALAS2	NP_000023.2
AP3B1	NP_003655.3
WISP1	NP_003873.1
MATN2	NP_002371.3
QKI	NP_006766.1
RANBP2	NP_006258.3
OPN1MW	NP_000504.1
OPN1LW	NP_064445.1
C1QTNF1	AAG44303.1
CASP2	NP_116764.2
SHH	NP_000184.1
VIPR2	NP_003373.2
ZFPM2	NP_036214.2
FGD1	NP_004454.2
GRPR	NP_005305.1
HIVEP1	NP_002105.2
PPM1G	NP_817092.1
LMAN1	NP_005561.1
PHYH	NP_006205.1
BPI	NP_001716.2
ALDOC	NP_005156.1
FGF23	NP_065689.1
PHEX	NP_000435.3
HPRT1	NP_000185.1
CD84	NP_003865.1
SLAMF7	NP_067004.3
IL15	NP_000576.1
SLC4A1	NP_000333.1
IL15RA	NP_002180.1
IL3RA	NP_002174.1
CA4	NP_000708.1
FXR1	NP_005078.2
FMR1	NP_002015.1
NUFIP1	NP_036477.2
FXR2	NP_004851.2
CYFIP1	NP_055423.1
CYFIP2	NP_055191.2
NUFIP2	NP_065823.1
SPN	NP_003114.1
ASS1	NP_446464.1
TIMM44	NP_006342.2
PRPF6	NP_036601.2
NUDT14	NP_803877.2
PBK	NP_060962.2
STK16	NP_003682.2
CDK16	NP_148978.2
CDK5R1	NP_003876.1
PIGH	NP_004560.1
PIGA	NP_002632.1
DPM2	NP_003854.1
PGK1	NP_000282.1
PRPSAP1	NP_002757.2
PRPS1	NP_002755.1
PRPS2	NP_001034180.1
PHKA1	NP_002628.2
CDK2AP1	NP_004633.1
RBMS1	NP_058521.1
CDC45L	NP_003495.1
PDK1	NP_002601.1
SLC4A1AP	NP_060628.2
PDK3	NP_001135858.1
PDK4	NP_002603.1
ZMYM2	NP_003444.1
ARL3	NP_004302.1
RP2	NP_008846.2
PLDN	NP_036520.1
HTR2C	NP_000859.1
LIN7C	NP_060832.1
UBE2D3	NP_871622.1
SAT1	NP_002961.1
PAX6	NP_001595.2
SOX3	NP_005625.2
SYN2	NP_598328.1
SYN3	NP_003481.3
CAMK1	NP_003647.1
PPIA	NP_066953.1
TAF2	NP_003175.1
TAF7	NP_005633.2
TAF15	NP_631961.1
SLC16A1	NP_003042.3
TAF10	NP_006275.1
TAF12	NP_005635.1
ASF1A	NP_054753.1
ASF1B	NP_060624.1
TAF8	NP_612639.2
SLC16A3	NP_004198.1
CD48	NP_001769.2
NR2C2	NP_003289.2
NR2C1	NP_003288.2
RAC3	NP_005043.1
FOXA1	NP_004487.2
RNF4	NP_002929.1
SVIL	NP_068506.2
HIPK3	NP_005725.3
CDC37	NP_008996.1
RNF14	NP_004281.1
PAK6	NP_064553.1
CD244	NP_057466.1
SRY	NP_003131.1
PNRC1	NP_006804.1
ETV5	NP_004445.1
MS4A1	NP_690605.1
CD40	NP_001241.1
RAD54L2	NP_055921.2
NISCH	NP_009115.2
SART3	NP_055521.1
ZMIZ1	NP_065071.1
EFCAB6	NP_073622.2
TFE3	NP_006512.2
TFEB	NP_009093.1
TFEC	NP_036384.1
UBA1	NP_003325.2
RBMY1A1	NP_005049.1
SFRS3	NP_003008.1
SFRS9	NP_003760.1
KHDRBS3	NP_006549.1
UTY	NP_009056.3
TLE2	NP_003251.2
BPY2	NP_004669.2
EIF1AY	NP_004672.2
COX5A	NP_004246.2
MT-COI	AAK17573.1
MT-CO2	NP_776053.1
CACNB2	NP_963890.2
REM1	NP_054731.2
RFX5	NP_000440.1
RFXANK	NP_003712.1
RFX3	NP_602304.1
NFIB	NP_005587.2
NFIC	P08651
INSM1	NP_002187.1
SAP30	NP_003855.1
YAF2	NP_005739.2
RYBP	NP_036366.3
ATF6	NP_031374.2
SS18	AAK21314.1
ACTL6B	NP_057272.1
MXI1	NP_569157.2
SIN3B	NP_056075.1
LBR	NP_002287.2
FNBP4	NP_056123.2
KIF5C	NP_004513.1
SCN4A	NP_000325.4
LGTN	NP_008824.2
CDK5R2	NP_003927.1
ABCA1	NP_005493.2
PTPRN	NP_002837.1
MAST1	NP_055790.1
SPEN	NP_055816.2
TMBIM6	NP_001092046.1
RTN1	NP_066959.1
APAF1	NP_863651.1
BNIP1	NP_053582.2
BNIP3	NP_004043.2
BCL3	NP_005169.2
BIK	NP_001188.1
HRK	NP_003797.1
CFLAR	NP_003870.4
BCL2L11	NP_619527.1
BECN1	NP_003757.1
FKBP8	NP_036313.3
AVEN	NP_065104.1
BCL2L14	NP_620048.1
NFKB1	NP_003989.2
ANTXR1	NP_115584.1
BCL2L10	NP_065129.1
BNIP3L	NP_004322.1
SPNS1	NP_114427.1
PMAIP1	NP_066950.1
MOAP1	NP_071434.2
NFKB2	NP_001070962.1
BAX	NP_004315.1
SH3GLB1	NP_057093.1
MAP2K7	AAC16273.1
KIF3A	NP_008985.3
SH3RF1	NP_065921.2
ESM1	NP_008967.1
ICAM5	NP_003250.3
VNN2	NP_004656.2
PIP5K1C	NP_036530.1
RBP1	NP_002890.2
ANKS1B	NP_690001.3
LRP2BP	NP_060879.2
ANKRA2	NP_075526.1
DR1	NP_001929.1
SNAPC4	NP_003077.2
IKZF1	NP_006051.1
SNAPC2	NP_003074.1
BTAF1	NP_003963.1
BARD1	NP_000456.2
FOXF2	NP_001443.1
TAF1L	NP_722516.1
TAF13	CAA58827.1
GTF3C3	NP_036218.1
ABT1	NP_037507.1
EFS	NP_005855.1
N4BP2	NP_060647.2
TFIP11	NP_036275.1
TUFT1	NP_064512.1
BCL6	NP_620309.1
APOL1	NP_663318.1
LCAT	NP_000220.1
RAPGEF3	NP_001092001.1
RAPGEF4	NP_008954.2
RASGRF1	Q13972
STX2	NP_919337.1
WNK1	NP_061852.2
SYT2	NP_796376.2
INPP5A	Q14642
ADAMTS5	NP_008969.2
SGK1	NP_001137148.1
SLC1A3	NP_004163.3
DYNC1H1	NP_001367.2
SGCB	NP_000223.1
SGCA	NP_000014.1
PDE4B	NP_002591.2
PDE4DIP	NP_055459.4
APOBEC1	NP_001635.2
CUGBP2	AAH36391.1
DNAJB11	NP_057390.1
A1CF	NP_620310.1
ALX1	NP_008913.2
PROX1	NP_002754.2
NEUROG1	NP_006152.2
PHOX2A	NP_005160.2
HDAC9	NP_848512.1
MBD2	NP_003918.1
ONECUT1	NP_004489.1
KLF13	NP_057079.2
AIRE	NP_000374.1
CAMK4	NP_001735.1
TGS1	NP_079107.6
PCMT1	NP_005380.2
NFE2	NP_006154.1
NFATC4	NP_001129494.1
HDAC7	NP_056216.2
CARM1	NP_954592.1
SS18L1	NP_056373.2
SRCAP	NP_006653.2
HSPE1	NP_002148.1
ITPR2	NP_002214.2
PAX3	NP_852124.1
WDR44	NP_061918.3
SEC13	NP_109598.2
SEC31A	NP_055748.2
PIGO	NP_116023.2
PIGF	NP_002634.1
BUB1B	NP_001202.4
MCM5	NP_006730.2
CDKN2C	NP_001253.1
CDC7	NP_003494.1
ALS2CR8	NP_079020.13
SERTAD1	NP_037508.2
CDKN2AIP	NP_060102.1
ZNF410	NP_067011.1
BCL6B	NP_862827.1
HYAL2	NP_149348.2
TIAF1	NP_004731.2
PIK3C3	NP_002638.2
GUCA2B	NP_009033.1
RGS9	O75916
SHFM1	NP_006295.1
HMG20B	NP_006330.2
C11orf30	NP_064578.2
MAGI2	NP_036433.2
DHPS	NP_001921.1
RPL5	NP_000960.2
XPO4	NP_071904.4
PRDM1	NP_001189.2
SIX3	NP_005404.1
PTRH2	BAB71351.1
BDKRB2	NP_000614.1
RUNX3	AAH13362.1
FOXA2	NP_068556.2
HES6	NP_061115.2
H3F3A	NP_002098.1
MLLT10	NP_004632.1
CAPN2	NP_001739.2
KRT2	NP_000414.2
MAFK	NP_002351.1
BACH1	NP_001177.1
MARS	NP_004981.2
NFE2L3	NP_004280.5
BACH2	NP_068585.1
FSHR	NP_000136.2
ASIP	NP_001663.2
BAIAP2	NP_059345.1
FPR1	NP_002020.1
SMURF1	NP_065162.1
MC4R	NP_005903.2
MYST4	NP_036462.2
FASN	NP_004095.4
SNCA	NP_000336.1
S100P	NP_005971.1
S100A12	NP_005612.1
MFAP1	NP_005917.2
ANGPT1	NP_001137.2
ANGPT2	NP_001138.1
ANGPT4	NP_057069.1
ANGPTL1	NP_004664.1
DOK2	NP_003965.2
GCHFR	NP_005249.1
GCH1	NP_000152.1
PLCB3	NP_000923.1
RGS12	NP_937872.1
FOXE1	CAA64246.1
PRKG2	NP_006250.1
CAMK2B	NP_001211.3
GABRG3	NP_150092.2
ANK3	NP_066267.2
SCN1B	NP_950238.1
CENPF	NP_057427.3
H3F3B	NP_005315.1
HIRIP3	NP_003600.2
NFU1	NP_001002755.1
CALML5	NP_059118.2
TGM3	NP_003236.3
CCR7	NP_001829.1
CCR10	NP_057686.2
CCL19	NP_006265.1
CCL25	NP_005615.2
CCL27	NP_006655.1
CXCL13	NP_006410.1
CCL28	NP_062820.1
CCL21	NP_002980.1
DAD1	NP_001335.1
CD274	NP_054862.1
PDCD1	NP_005009.2
ELK4	NP_001964.2
ELK3	NP_005221.2
XCR1	NP_005274.1
XCL1	NP_002986.1
ARNTL	NP_001169.3
NUCB1	NP_006175.2
BAT5	NP_066983.1
CRIP2	NP_001303.1
ARHGAP29	NP_004806.3
BRD7	AAF19526.1
COL2A1	NP_001835.3
COL3A1	NP_000081.1
PKP4	NP_003619.2
PKP3	NP_009114.1
NOTCH2	NP_077719.2
NOTCH3	NP_000426.2
TCF4	NP_001077431.1
GTF2A1L	NP_006863.2
ID4	NP_001537.1
RAP1GAP	NP_001139130.1
PMP22	NP_000295.1
PEX12	NP_000277.1
PEX13	NP_002609.1
PEX14	NP_004556.1
PEX3	NP_003621.1
RCOR1	NP_055971.1
PEX16	NP_476515.1
PEX11A	NP_003838.1
PEX11B	NP_003837.1
SLC25A17	NP_006349.1
PXMP4	NP_009169.3
NUBP1	NP_002475.2
PDCL	NP_005379.3
GRIK5	NP_002079.3
EAF2	NP_060926.2
EAF1	NP_149074.3
SNF8	NP_009172.2
IARS	NP_038203.2
GARS	AAH00065.1
OTX2	NP_068374.1
EN2	NP_001418.2
GSC	NP_776248.1
MAPKAPK3	NP_004626.1
MAP2K3	NP_659732.1
DUSP2	NP_004409.1
EEF2K	NP_037434.1
STK39	NP_037365.2
DUSP10	NP_009138.1
DUSP22	NP_064570.1
ADCY3	NP_004027.2
STOML3	NP_660329.1
HNRNPF	NP_004957.1
LMX1A	NP_796372.1
PCM1	AAA60120.1
BBS4	NP_149017.2
TTC8	AAH26351.1
SLC1A2	NP_004162.2
ADRBK2	NP_005151.2
PSMB5	NP_002788.1
PSMB6	NP_002789.1
AP2M1	NP_004059.2
AQP4	NP_001641.1
AP3M1	NP_996895.1
CLIC5	NP_001107558.1
CXCR4	NP_001008540.1
TNFRSF4	NP_003318.1
TNFSF4	NP_003317.1
KIF5B	NP_004512.1
SYT3	NP_115674.1
SRCIN1	NP_079524.2
BDKRB1	NP_000701.2
RGR	NP_002912.2
BTC	NP_001720.1
TNR	NP_003276.3
ADAMTS4	NP_005090.3
FABP5	NP_001435.1
SNRPD2	NP_004588.1
TIAL1	NP_001029097.1
HNRNPR	NP_001095868.1
LSM2	NP_067000.1
LSM4	NP_036453.1
LSM5	NP_036454.1
LSM6	NP_009011.1
LSM7	NP_057283.1
GAR1	NP_061856.1
GEMIN7	NP_078983.1
OSTF1	NP_036515.4
FLII	NP_002009.1
LRRFIP1	NP_001131024.1
LRRFIP2	NP_006300.1
PECR	NP_060911.2
GNA11	NP_002058.2
ISL2	NP_665804.1
CSTF2	NP_001316.1
CSTF3	NP_001317.1
CSTF1	NP_001315.1
DDX1	NP_004930.1
SYMPK	NP_004810.2
GNA15	NP_002059.2
RAD51L3	NP_001136043.1
XRCC2	NP_005422.1
IMMT	NP_006830.2
INSR	NP_000199.2
C1orf103	NP_060842.3
MYT1	NP_004526.1
DENND4A	NP_001138295.1
TCF12	NP_996919.1
ID2	NP_002157.2
MSC	NP_005089.2
BST1	NP_004325.2
LAMA5	NP_005551.3
GNRH1	NP_000816.3
PYY	NP_004151.2
OS9	NP_006803.1
SLIT2	NP_004778.1
PREP	NP_002717.3
TAC1	NP_003173.1
RFC5	NP_031396.1
GBP3	NP_060754.2
PEX7	NP_000279.1
PEX5	NP_001124495.1
KCNJ6	NP_002231.1
KCNJ9	NP_004974.2
CABIN1	NP_036427.1
ECE1	NP_001388.1
GNA14	NP_004288.1
CDKN2B	NP_004927.2
FABP4	NP_001433.1
CTF1	NP_001321.1
TFB1M	NP_057104.2
TFAM	NP_003192.1
TFB2M	NP_071761.1
MBIP	NP_057670.2
MARK3	NP_001122390.1
GLRX3	NP_006532.2
TRIM25	NP_005073.2
TFG	NP_006061.2
UBE2L6	NP_004214.1
PIP5K1A	AAC50911.1
EIF2B1	NP_001405.1
ARFIP2	NP_036534.1
RAB11FIP3	NP_055515.1
SCN2A	NP_066287.2
SPTBN4	NP_066022.2
HPCAL1	NP_602293.1
KCNC1	NP_001106212.1
HNRNPH1	NP_005511.1
NCBP1	NP_002477.1
SNRPA1	NP_003081.2
NCBP2	NP_031388.2
GNAS	NP_536350.2
ADRB3	NP_000016.1
PURB	NP_150093.1
WDR1	NP_059830.1
PTF1A	NP_835455.1
ASCL4	NP_982260.2
OLIG3	NP_786923.1
SCAP	NP_036367.2
INSIG1	NP_005533.2
INSIG2	NP_057217.2
HLA-A	NP_002107.3
NFATC2IP	NP_116204.3
EIF2AK3	NP_004827.4
NEBL	NP_006384.1
HLA-B	NP_005505.2
PMF1	NP_009152.2
SOX11	NP_003099.1
ACACB	NP_001084.3
IGHMBP2	NP_002171.2
POU2AF1	NP_006226.2
HLA-G	NP_002118.1
GNGT2	NP_113686.1
HLA-E	NP_005507.3
BID	NP_932070.1
AP3B2	NP_004635.2
NFATC3	NP_775188.1
EIF2B5	NP_003898.2
HLA-F	NP_001091949.1
CSNK1G2	NP_001310.3
CD1B	NP_001755.1
EIF2S2	NP_003899.2
CD1A	NP_001754.2
TBK1	NP_037386.1
NCKAP1	NP_995314.1
EIF2B2	NP_055054.1
MINK1	NP_722549.2
C3orf10	NP_060932.2
KCNJ8	NP_004973.1
ABCC8	NP_000343.2
CD1E	NP_112155.2
CRYBB1	NP_001878.1
KCNJ11	NP_000516.3
ENSA	NP_996925.1
PCDHA4	NP_061730.1
PCDHA6	NP_061732.1
SERPINB3	NP_008850.1
TBPL1	NP_004856.1
FCGRT	NP_004098.1
FCN2	NP_004099.2
MASP1	NP_624302.1
C2	NP_000054.2
RYK	NP_001005861.1
EPHB3	NP_004434.2
WNT3A	NP_149122.1
LILRB1	NP_001075106.1
RHBDL2	NP_060291.2
VANGL2	Q9ULK5
RECQL	NP_002898.2
HTR1A	NP_000515.2
NR4A3	NP_775292.1
EREG	NP_001423.1
RNF41	NP_005776.1
NRG4	NP_612640.1
NRG3	NP_001010848.2
MVD	NP_002452.1
S1PR3	NP_005217.2
XCL2	NP_003166.1
GPR26	NP_703143.1
TRADD	NP_003780.1
IL27RA	NP_004834.1
ELP2	NP_060725.1
HSPA1B	NP_005337.2
HSPBP1	NP_036399.3
ZNF467	NP_997219.1
IL12RB1	NP_005526.1
IL12RB2	NP_001550.1
CEACAM1	NP_001703.2
CEACAM6	NP_002474.3
SHCBP1	NP_079021.3
IFT172	NP_056477.1
CLCN3	NP_776297.2
GOPC	NP_065132.1
PLK4	NP_055079.3
NKX2-5	NP_004378.1
TBX2	NP_005985.3
TBX5	NP_000183.2
FOXH1	NP_003914.1
ETV4	NP_001977.1
NKX3-1	NP_006158.2
SSRP1	NP_003137.1
NKX2-3	NP_660328.2
HOPX	NP_001138932.1
MYOCD	NP_705832.1
MKL1	NP_065882.1
BARX2	NP_003649.2
MKL2	NP_054767.3
CEACAM8	NP_001807.2
S100Z	NP_570128.2
LUM	NP_002336.1
CCHCR1	NP_001099034.1
STAR	NP_000340.2
TFF3	NP_003217.2
GATA6	NP_005248.2
IL8	NP_000575.1
DARC	NP_001116423.1
WWTR1	NP_056287.1
PTBP1	NP_002810.1
IL18	NP_001553.1
CXCL1	NP_001502.1
BIRC2	NP_001157.1
BIRC3	NP_001156.1
DFFA	NP_004392.1
SRP72	NP_008878.3
CCL2	NP_002973.1
GOLGA3	NP_005886.2
CASP4	NP_001216.1
PDE5A	NP_001074.2
BIRC5	NP_001012271.1
PARG	NP_003622.2
EIF3J	NP_003749.2
GYPC	NP_002092.1
EIF4B	NP_001408.2
ACIN1	NP_055792.1
KCNIP3	NP_038462.1
STK3	NP_006272.2
PSME3	NP_789839.1
BIRC7	NP_647478.1
MPP1	NP_002427.1
DEDD	NP_127491.1
GORASP1	NP_114105.1
STK24	NP_003567.2
SLK	NP_055535.2
UBE4B	AAD02233.1
SARS2	NP_060297.1
PDE10A	NP_001124162.1
CAST	NP_001741.4
EIF4G2	NP_001409.1
KEL	NP_000411.1
EDN3	NP_996917.1
BMP2	NP_001191.1
ACVR1	NP_001096.1
CRADD	NP_003796.1
NOL3	NP_003937.1
CASP14	NP_036246.1
NOD1	NP_006083.1
NLRP1	NP_127497.1
PSME1	NP_788955.1
PSME2	NP_002809.2
PPP5C	NP_006238.1
EDN2	NP_001947.1
CRY2	NP_066940.2
PPP2R3A	NP_002709.2
PPP2R1A	NP_055040.2
BCAM	NP_005572.2
ITGAM	NP_000623.2
ICAM4	NP_001034221.1
MEF2B	NP_005910.1
SOX18	NP_060889.1
BCL10	NP_003912.1
IKBKAP	NP_003631.2
UBE2E3	NP_006348.1
NLRP4	NP_604393.2
MTNR1A	NP_005949.1
FZD2	NP_001457.1
BMP7	NP_001710.1
GYPB	NP_002091.2
KCNJ16	NP_061128.1
CTLA4	NP_005205.2
CD80	NP_005182.1
LY9	NP_002339.2
SH2D1B	NP_444512.2
PLAG1	NP_002646.2
RNMT	NP_003790.1
NUP50	NP_009103.2
CDA	NP_001776.1
ARL4A	NP_005729.1
ARL5A	NP_036229.1
ELAVL1	NP_001410.2
CD79A	NP_001774.1
PCBP2	NP_005007.2
IGHM	CAA34971.1
LIF	NP_002300.1
IL31RA	NP_620586.3
PIAS3	NP_006090.2
HMGA2	NP_003474.1
FCAR	NP_001991.1
POU3F1	NP_002690.3
SRP14	NP_003125.3
SRP9	NP_003124.1
CD79B	NP_001035022.1
MPP2	NP_005365.3
PTCH1	NP_000255.2
PTCH2	NP_003729.3
IHH	NP_002172.2
NPB	NP_683694.1
NPBWR1	NP_005276.2
NPBWR2	NP_005277.2
ARL6IP1	NP_055976.1
ARL4D	NP_001652.2
PDX1	NP_000200.1
ENG	NP_001108225.1
NEUROD1	NP_002491.2
SPOP	NP_001007227.1
IFI35	NP_005524.1
GALNT4	NP_003765.2
NPTXR	NP_055108.2
NPTX2	NP_002514.1
SIGLEC1	NP_075556.1
KISS1	NP_002247.3
CLDN1	NP_066924.1
PPP2R4	NP_821068.1
CCNG2	NP_004345.1
CSPG4	NP_001888.2
DDIT4	NP_061931.1
HSPG2	NP_005520.4
ARHGAP26	NP_055886.1
RB1CC1	NP_055596.3
PPP1CB	NP_002700.1
UBQLN1	NP_038466.2
APH1A	AAH20590.1
APH1B	NP_112591.2
PSENEN	NP_758844.1
METTL2B	NP_060866.2
DOCK3	NP_004938.1
KCNIP4	NP_079497.2
SCNN1D	NP_001123885.1
BGLAP	NP_954642.1
PTRF	NP_036364.2
FNTA	NP_002018.1
CTSH	NP_004381.2
BAZ2A	NP_038477.2
FOXG1A	P55316
SYT5	NP_003171.2
TCEB3	NP_003189.2
REXO1	NP_065746.3
SOCS6	NP_004223.2
LRRC41	NP_006360.3
TCEB3C	NP_663628.2
TCEB3B	NP_057511.2
GGCX	NP_000812.2
RETN	NP_065148.1
PVRL2	NP_001036189.1
GDF5	NP_000548.1
BMPR1A	NP_004320.2
GDF9	NP_005251.1
TUBB4	NP_006078.2
FOXL1	NP_005241.1
PMPCA	NP_055975.1
$OC90$	Q02509
CCDC89	NP_689936.1
SULT1E1	NP_005411.1
MGP	NP_000891.2
ARSA	NP_000478.2
ACTR8	NP_075050.3
NOP56	NP_006383.2
TWF1	NP_002813.2
GDF6	NP_001001557.1
LSM10	NP_116270.1
PDZRN3	NP_055824.1
DYNLT1	NP_006510.1
DDB2	NP_000098.1
USP40	NP_060688.1
DDB1	NP_001914.3
SRPK2	NP_872634.1
PRPF4	NP_004688.2
PRPF4B	NP_003904.3
CDK12	NP_057591.2
LUC7L3	NP_057508.2
TNPO3	NP_036602.1
CCNL1	NP_064703.1
CCNL2	AAK67631.1
INHBA	NP_002183.1
H2AFX	NP_002096.1
MRE11A	NP_005582.1
NBN	NP_002476.2
RAD50	NP_005723.2
NOG	NP_005441.1
ARCN1	NP_001646.2
COPG2	NP_036265.3
COPG	NP_057212.1
COPZ2	NP_057513.1
RORA	NP_599022.1
TRIM26	NP_003440.1
CHRDL2	NP_056239.3
MIB1	NP_065825.1
GFRA1	NP_005255.1
GDNF	NP_000505.1
GFRA2	NP_001486.4
SOSTDC1	NP_056279.1
CIR1	NP_004873.3
BMPER	NP_597725.1
C1D	NP_006324.1
HDAC10	NP_114408.3
GREM2	NP_071914.3
HESX1	NP_003856.1
CHD1	NP_001261.2
NR1D2	NP_005117.3
NR1D1	NP_068370.1
NR6A1	NP_201591.2
HEY2	NP_036391.1
ZMYND11	NP_006615.2
TBL1XR1	NP_078941.2
DACH1	NP_542937.2
AIMP2	NP_006294.2
KARS	AAG30114.1
GTF3A	NP_002088.2
GTF3C2	NP_001512.1
GDE1	NP_057725.1
INHBB	NP_002184.2
HTRA1	NP_002766.1
AGFG1	NP_001128659.1
EPS15L1	NP_067058.1
RNF216	NP_996994.1
BMP8B	NP_001711.2
PER2	NP_073728.1
ANKRD6	NP_055757.2
ARFGAP1	NP_783202.1
BACE1	NP_036236.1
UGCG	NP_003349.1
NUP54	NP_059122.2
SSR1	NP_003135.2
LTB4R	NP_858043.1
EDNRB	NP_000106.1
SNCB	NP_003076.1
KCNJ3	NP_002230.1
NRF1	NP_005002.3
PPRC1	NP_055877.3
EXO1	NP_569082.1
PRLHR	NP_004239.1
PRLH	NP_056977.1
UTS2	NP_068835.1
UTS2R	NP_061822.1
UTS2D	NP_937795.2
TJP1	NP_003248.3
GJA8	NP_005258.2
POU3F3	NP_006227.1
ILF2	NP_004506.2
BMP3	NP_001192.2
XRCC4	NP_071801.1
BMP1	NP_006120.1
COL7A1	NP_000085.1
SFRS5	AAA93070.1
COL1A1	NP_000079.2
GFER	NP_005253.3
COL5A2	NP_000384.2
BNIPL	NP_612122.2
CDKN2D	NP_001791.1
COL5A1	NP_000084.3
ABCC9	NP_005682.2
HMMR	NP_001136028.1
LAMC2	NP_005553.2
LAMB3	NP_000219.2
EMID2	NP_597714.2
C1QL3	NP_001010908.1
CRHR2	AAB94503.1
UCN	NP_003344.1
CRHBP	NP_001873.2
CRHR1	NP_001138618.1
TWSG1	NP_065699.1
